"DTSTART","DTEND","DURATION","DTSTAMP","SUMMARY","UID","RECURRENCE-ID","SEQUENCE","RRULEEXRULE","RDATE","EXDATE"
"2013-08-23T08:50:00","2013-08-23T23:23:00","","2013-08-23T08:50:00+00:00","與金防區三軍官兵精神講話","2013-08-23T08:50:00/2013-08-23T23:23:00@president.g0v.tw","","","","",""
"2013-08-23T09:20:00","2013-08-23T23:23:00","","2013-08-23T09:20:00+00:00","慰勉陸軍金防部戰車營","2013-08-23T09:20:00/2013-08-23T23:23:00@president.g0v.tw","","","","",""
"2013-08-23T10:10:00","2013-08-23T23:23:00","","2013-08-23T10:10:00+00:00","823戰役55週年追思活動-太武山忠烈祠公祭","2013-08-23T10:10:00/2013-08-23T23:23:00@president.g0v.tw","","","","",""
"2013-08-23T11:00:00","2013-08-23T23:23:00","","2013-08-23T11:00:00+00:00","823戰役55週年追思活動-和平園區敲鐘祈福","2013-08-23T11:00:00/2013-08-23T23:23:00@president.g0v.tw","","","","",""
"2013-08-23T14:15:00","2013-08-23T23:23:00","","2013-08-23T14:15:00+00:00","接見美國國會「亞太裔國會議員連線(CAPAC)」訪華團","2013-08-23T14:15:00/2013-08-23T23:23:00@president.g0v.tw","","","","",""
"2013-08-22T00:00:00","2013-08-22T23:23:00","","2013-08-22T00:00:00+00:00","無公開行程","2013-08-22T00:00:00/2013-08-22T23:23:00@president.g0v.tw","","","","",""
"2013-08-21T06:30:00","2013-08-21T23:23:00","","2013-08-21T06:30:00+00:00","「賀誼專案」－總統返抵桃園國際機場","2013-08-21T06:30:00/2013-08-21T23:23:00@president.g0v.tw","","","","",""
"2013-08-21T08:30:00","2013-08-21T23:23:00","","2013-08-21T08:30:00+00:00","視察中央災害應變中心","2013-08-21T08:30:00/2013-08-21T23:23:00@president.g0v.tw","","","","",""
"2013-08-20T00:00:00","2013-08-20T23:23:00","","2013-08-20T00:00:00+00:00","「賀誼專案」—總統出訪南美洲及加勒比海五友邦(海地、巴拉圭、聖露西亞、聖文森、聖克里斯多福及尼維斯)","2013-08-20T00:00:00/2013-08-20T23:23:00@president.g0v.tw","","","","",""
"2013-08-19T00:00:00","2013-08-19T23:23:00","","2013-08-19T00:00:00+00:00","「賀誼專案」—總統出訪南美洲及加勒比海五友邦(海地、巴拉圭、聖露西亞、聖文森、聖克里斯多福及尼維斯)","2013-08-19T00:00:00/2013-08-19T23:23:00@president.g0v.tw","","","","",""
"2013-08-18T00:00:00","2013-08-18T23:23:00","","2013-08-18T00:00:00+00:00","「賀誼專案」—總統出訪南美洲及加勒比海五友邦(海地、巴拉圭、聖露西亞、聖文森、聖克里斯多福及尼維斯)","2013-08-18T00:00:00/2013-08-18T23:23:00@president.g0v.tw","","","","",""
"2013-08-17T00:00:00","2013-08-17T23:23:00","","2013-08-17T00:00:00+00:00","「賀誼專案」—總統出訪南美洲及加勒比海五友邦(海地、巴拉圭、聖露西亞、聖文森、聖克里斯多福及尼維斯)","2013-08-17T00:00:00/2013-08-17T23:23:00@president.g0v.tw","","","","",""
"2013-08-16T00:00:00","2013-08-16T23:23:00","","2013-08-16T00:00:00+00:00","「賀誼專案」—總統出訪南美洲及加勒比海五友邦(海地、巴拉圭、聖露西亞、聖文森、聖克里斯多福及尼維斯)","2013-08-16T00:00:00/2013-08-16T23:23:00@president.g0v.tw","","","","",""
"2013-08-15T00:00:00","2013-08-15T23:23:00","","2013-08-15T00:00:00+00:00","「賀誼專案」—總統出訪南美洲及加勒比海五友邦(海地、巴拉圭、聖露西亞、聖文森、聖克里斯多福及尼維斯)","2013-08-15T00:00:00/2013-08-15T23:23:00@president.g0v.tw","","","","",""
"2013-08-14T00:00:00","2013-08-14T23:23:00","","2013-08-14T00:00:00+00:00","「賀誼專案」—總統出訪南美洲及加勒比海五友邦(海地、巴拉圭、聖露西亞、聖文森、聖克里斯多福及尼維斯)","2013-08-14T00:00:00/2013-08-14T23:23:00@president.g0v.tw","","","","",""
"2013-08-13T00:00:00","2013-08-13T23:23:00","","2013-08-13T00:00:00+00:00","「賀誼專案」—總統出訪南美洲及加勒比海五友邦(海地、巴拉圭、聖露西亞、聖文森、聖克里斯多福及尼維斯)","2013-08-13T00:00:00/2013-08-13T23:23:00@president.g0v.tw","","","","",""
"2013-08-12T00:00:00","2013-08-12T23:23:00","","2013-08-12T00:00:00+00:00","「賀誼專案」—總統出訪南美洲及加勒比海五友邦(海地、巴拉圭、聖露西亞、聖文森、聖克里斯多福及尼維斯)","2013-08-12T00:00:00/2013-08-12T23:23:00@president.g0v.tw","","","","",""
"2013-08-11T13:40:00","2013-08-11T23:23:00","","2013-08-11T13:40:00+00:00","「賀誼專案」—總統出訪南美洲及加勒比海五友邦(海地、巴拉圭、聖露西亞、聖文森、聖克里斯多福及尼維斯)","2013-08-11T13:40:00/2013-08-11T23:23:00@president.g0v.tw","","","","",""
"2013-08-10T09:00:00","2013-08-10T23:23:00","","2013-08-10T09:00:00+00:00","總統與青年有約：北醫楓杏生物醫學研習營","2013-08-10T09:00:00/2013-08-10T23:23:00@president.g0v.tw","","","","",""
"2013-08-10T10:45:00","2013-08-10T23:23:00","","2013-08-10T10:45:00+00:00","視察「臺電公司中屯風力園區」","2013-08-10T10:45:00/2013-08-10T23:23:00@president.g0v.tw","","","","",""
"2013-08-09T09:58:00","2013-08-09T23:23:00","","2013-08-09T09:58:00+00:00","第1屆「總統創新獎」啟動記者會","2013-08-09T09:58:00/2013-08-09T23:23:00@president.g0v.tw","","","","",""
"2013-08-09T14:30:00","2013-08-09T23:23:00","","2013-08-09T14:30:00+00:00","接見2013年十大「神農獎」及「模範農民」得獎人","2013-08-09T14:30:00/2013-08-09T23:23:00@president.g0v.tw","","","","",""
"2013-08-09T15:30:00","2013-08-09T23:23:00","","2013-08-09T15:30:00+00:00","總統與「和好疼惜臺灣會」座談會","2013-08-09T15:30:00/2013-08-09T23:23:00@president.g0v.tw","","","","",""
"2013-08-08T00:00:00","2013-08-08T23:23:00","","2013-08-08T00:00:00+00:00","無公開行程","2013-08-08T00:00:00/2013-08-08T23:23:00@president.g0v.tw","","","","",""
"2013-08-07T11:10:00","2013-08-07T23:23:00","","2013-08-07T11:10:00+00:00","接見「2013年索菲亞第22屆夏季達福林匹克運動會」我國代表團成員","2013-08-07T11:10:00/2013-08-07T23:23:00@president.g0v.tw","","","","",""
"2013-08-07T17:00:00","2013-08-07T23:23:00","","2013-08-07T17:00:00+00:00","接見「日本九州經濟連攜推進機構」重要幹部","2013-08-07T17:00:00/2013-08-07T23:23:00@president.g0v.tw","","","","",""
"2013-08-07T17:50:00","2013-08-07T23:23:00","","2013-08-07T17:50:00+00:00","接見「2013年卡利第9屆世界運動會」我國代表團","2013-08-07T17:50:00/2013-08-07T23:23:00@president.g0v.tw","","","","",""
"2013-08-06T09:45:00","2013-08-06T23:23:00","","2013-08-06T09:45:00+00:00","接見「2013年東海和平論壇」與會貴賓","2013-08-06T09:45:00/2013-08-06T23:23:00@president.g0v.tw","","","","",""
"2013-08-05T09:10:00","2013-08-05T23:23:00","","2013-08-05T09:10:00+00:00","出席「2013年東海和平論壇」開幕式","2013-08-05T09:10:00/2013-08-05T23:23:00@president.g0v.tw","","","","",""
"2013-08-04T00:00:00","2013-08-04T23:23:00","","2013-08-04T00:00:00+00:00","無公開行程","2013-08-04T00:00:00/2013-08-04T23:23:00@president.g0v.tw","","","","",""
"2013-08-03T10:00:00","2013-08-03T23:23:00","","2013-08-03T10:00:00+00:00","視察嘉129線「山美橋」工程","2013-08-03T10:00:00/2013-08-03T23:23:00@president.g0v.tw","","","","",""
"2013-08-03T10:30:00","2013-08-03T23:23:00","","2013-08-03T10:30:00+00:00","訪視達娜伊谷自然生態園區","2013-08-03T10:30:00/2013-08-03T23:23:00@president.g0v.tw","","","","",""
"2013-08-03T12:05:00","2013-08-03T23:23:00","","2013-08-03T12:05:00+00:00","與「再造大阿里山風華計畫」重建有功人員餐敘","2013-08-03T12:05:00/2013-08-03T23:23:00@president.g0v.tw","","","","",""
"2013-08-03T14:10:00","2013-08-03T23:23:00","","2013-08-03T14:10:00+00:00","訪視鄒族領袖汪念月","2013-08-03T14:10:00/2013-08-03T23:23:00@president.g0v.tw","","","","",""
"2013-08-03T14:40:00","2013-08-03T23:23:00","","2013-08-03T14:40:00+00:00","訪視「優格哇獅假日市集」","2013-08-03T14:40:00/2013-08-03T23:23:00@president.g0v.tw","","","","",""
"2013-08-02T10:45:00","2013-08-02T23:23:00","","2013-08-02T10:45:00+00:00","出席「總統府102年員工親子日活動」","2013-08-02T10:45:00/2013-08-02T23:23:00@president.g0v.tw","","","","",""
"2013-08-02T15:00:00","2013-08-02T23:23:00","","2013-08-02T15:00:00+00:00","接見「第42屆國際技能競賽」我國代表團","2013-08-02T15:00:00/2013-08-02T23:23:00@president.g0v.tw","","","","",""
"2013-08-01T09:00:00","2013-08-01T23:23:00","","2013-08-01T09:00:00+00:00","接受巴拉圭共和國新任駐華特命全權大使柏馬紹（Marcial Bobadilla Guillén）呈遞到任國書","2013-08-01T09:00:00/2013-08-01T23:23:00@president.g0v.tw","","","","",""
"2013-08-01T10:40:00","2013-08-01T23:23:00","","2013-08-01T10:40:00+00:00","接見「中華民國第53屆中小學科學展覽會」各組各科第一名學生暨「2013年台灣國際科學展覽會」出國學生代表","2013-08-01T10:40:00/2013-08-01T23:23:00@president.g0v.tw","","","","",""
"2013-08-01T11:35:00","2013-08-01T23:23:00","","2013-08-01T11:35:00+00:00","出席臺北市立大學揭牌暨校長布達典禮","2013-08-01T11:35:00/2013-08-01T23:23:00@president.g0v.tw","","","","",""
"2013-08-01T13:50:00","2013-08-01T23:23:00","","2013-08-01T13:50:00+00:00","出席「102年度全國原住民族行政會議」開幕典禮","2013-08-01T13:50:00/2013-08-01T23:23:00@president.g0v.tw","","","","",""
"2013-08-01T15:00:00","2013-08-01T23:23:00","","2013-08-01T15:00:00+00:00","接見「臺灣阿甘環保總部」林明德總召集人暨環保志工一行","2013-08-01T15:00:00/2013-08-01T23:23:00@president.g0v.tw","","","","",""
"2013-08-01T16:00:00","2013-08-01T23:23:00","","2013-08-01T16:00:00+00:00","接見中華民國全國工業總會全體理監事一行","2013-08-01T16:00:00/2013-08-01T23:23:00@president.g0v.tw","","","","",""
"2013-07-31T10:20:00","2013-07-31T23:23:00","","2013-07-31T10:20:00+00:00","接見「2013年第27屆喀山世界大學運動會」我國得獎選手暨代表團人員","2013-07-31T10:20:00/2013-07-31T23:23:00@president.g0v.tw","","","","",""
"2013-07-31T17:00:00","2013-07-31T23:23:00","","2013-07-31T17:00:00+00:00","接見「法國電信集團」董事長斯特凡．赫夏（Stephane Richard）等一行","2013-07-31T17:00:00/2013-07-31T23:23:00@president.g0v.tw","","","","",""
"2013-07-30T09:00:00","2013-07-30T23:23:00","","2013-07-30T09:00:00+00:00","出席「關鍵時刻2013－為臺灣經濟開路」高峰會","2013-07-30T09:00:00/2013-07-30T23:23:00@president.g0v.tw","","","","",""
"2013-07-30T10:00:00","2013-07-30T23:23:00","","2013-07-30T10:00:00+00:00","接見「國際青年物理學家辯論錦標賽」得獎代表","2013-07-30T10:00:00/2013-07-30T23:23:00@president.g0v.tw","","","","",""
"2013-07-29T00:00:00","2013-07-29T23:23:00","","2013-07-29T00:00:00+00:00","無公開行程","2013-07-29T00:00:00/2013-07-29T23:23:00@president.g0v.tw","","","","",""
"2013-07-28T00:00:00","2013-07-28T23:23:00","","2013-07-28T00:00:00+00:00","無公開行程","2013-07-28T00:00:00/2013-07-28T23:23:00@president.g0v.tw","","","","",""
"2013-07-27T10:00:00","2013-07-27T23:23:00","","2013-07-27T10:00:00+00:00","出席「臺灣桃園國際機場第一航廈改善工程落成典禮」","2013-07-27T10:00:00/2013-07-27T23:23:00@president.g0v.tw","","","","",""
"2013-07-27T18:10:00","2013-07-27T23:23:00","","2013-07-27T18:10:00+00:00","臺中大甲鎮瀾宮廟口宣講","2013-07-27T18:10:00/2013-07-27T23:23:00@president.g0v.tw","","","","",""
"2013-07-26T09:00:00","2013-07-26T23:23:00","","2013-07-26T09:00:00+00:00","出席首屆「公務人員特種考試移民行政人員考試」錄取人員訓練結業暨「101學年度新住民及其子女培力與獎助學金」頒獎典禮","2013-07-26T09:00:00/2013-07-26T23:23:00@president.g0v.tw","","","","",""
"2013-07-26T11:00:00","2013-07-26T23:23:00","","2013-07-26T11:00:00+00:00","接見「2013大溪文藝季-作客總統府　關公回娘家」活動成員","2013-07-26T11:00:00/2013-07-26T23:23:00@president.g0v.tw","","","","",""
"2013-07-25T11:25:00","2013-07-25T23:23:00","","2013-07-25T11:25:00+00:00","接見「日本媽祖會」回國參訪團","2013-07-25T11:25:00/2013-07-25T23:23:00@president.g0v.tw","","","","",""
"2013-07-25T15:00:00","2013-07-25T23:23:00","","2013-07-25T15:00:00+00:00","接見我國參加「2013年第18屆國際學校網界博覽會」網頁比賽優勝隊伍師生代表","2013-07-25T15:00:00/2013-07-25T23:23:00@president.g0v.tw","","","","",""
"2013-07-24T00:00:00","2013-07-24T23:23:00","","2013-07-24T00:00:00+00:00","無公開行程","2013-07-24T00:00:00/2013-07-24T23:23:00@president.g0v.tw","","","","",""
"2013-07-23T11:10:00","2013-07-23T23:23:00","","2013-07-23T11:10:00+00:00","出席「衛生福利部部長布達暨揭牌典禮」","2013-07-23T11:10:00/2013-07-23T23:23:00@president.g0v.tw","","","","",""
"2013-07-22T09:00:00","2013-07-22T23:23:00","","2013-07-22T09:00:00+00:00","接見「2013年英國溫布頓網球公開賽」女子雙打冠軍我國選手謝淑薇等一行","2013-07-22T09:00:00/2013-07-22T23:23:00@president.g0v.tw","","","","",""
"2013-07-22T10:20:00","2013-07-22T23:23:00","","2013-07-22T10:20:00+00:00","出席「2013年卡利第9屆世界運動會」中華代表團授旗典禮","2013-07-22T10:20:00/2013-07-22T23:23:00@president.g0v.tw","","","","",""
"2013-07-21T00:00:00","2013-07-21T23:23:00","","2013-07-21T00:00:00+00:00","無公開行程","2013-07-21T00:00:00/2013-07-21T23:23:00@president.g0v.tw","","","","",""
"2013-07-20T10:00:00","2013-07-20T23:23:00","","2013-07-20T10:00:00+00:00","訪視「興台彩色印刷股份有限公司」","2013-07-20T10:00:00/2013-07-20T23:23:00@president.g0v.tw","","","","",""
"2013-07-20T11:10:00","2013-07-20T23:23:00","","2013-07-20T11:10:00+00:00","訪視「臺中市烹飪商業同業公會」榮譽理事長葉振興暨與臺中市餐飲業界座談","2013-07-20T11:10:00/2013-07-20T23:23:00@president.g0v.tw","","","","",""
"2013-07-19T10:00:00","2013-07-19T23:23:00","","2013-07-19T10:00:00+00:00","接見「世界臺灣商會聯合總會」第19屆重要幹部回國訪問團","2013-07-19T10:00:00/2013-07-19T23:23:00@president.g0v.tw","","","","",""
"2013-07-19T11:00:00","2013-07-19T23:23:00","","2013-07-19T11:00:00+00:00","接見日本神奈川縣知事黑岩祐治(Kuroiwa Yuji)等一行 ","2013-07-19T11:00:00/2013-07-19T23:23:00@president.g0v.tw","","","","",""
"2013-07-19T14:10:00","2013-07-19T23:23:00","","2013-07-19T14:10:00+00:00","出席「2013年索菲亞第22屆聽障達福林匹克運動會」中華代表團授旗典禮","2013-07-19T14:10:00/2013-07-19T23:23:00@president.g0v.tw","","","","",""
"2013-07-18T10:30:00","2013-07-18T23:23:00","","2013-07-18T10:30:00+00:00","出席「2013臺灣生技月暨生物科技大展」開幕典禮","2013-07-18T10:30:00/2013-07-18T23:23:00@president.g0v.tw","","","","",""
"2013-07-18T00:00:00","2013-07-18T23:23:00","","2013-07-18T00:00:00+00:00","11：10出席中華民國退伍軍人協會「紀念抗戰76週年、創會25週年暨第8屆第4次會員代表大會」","2013-07-18T00:00:00/2013-07-18T23:23:00@president.g0v.tw","","","","",""
"2013-07-18T11:45:00","2013-07-18T23:23:00","","2013-07-18T11:45:00+00:00","接見「夢想之鄒」志工團一行","2013-07-18T11:45:00/2013-07-18T23:23:00@president.g0v.tw","","","","",""
"2013-07-18T15:00:00","2013-07-18T23:23:00","","2013-07-18T15:00:00+00:00","出席「102年度吳鴻麟先生紀念獎學金」頒獎典禮","2013-07-18T15:00:00/2013-07-18T23:23:00@president.g0v.tw","","","","",""
"2013-07-17T10:15:00","2013-07-17T23:23:00","","2013-07-17T10:15:00+00:00","接見「德國國會經濟委員會訪華團」","2013-07-17T10:15:00/2013-07-17T23:23:00@president.g0v.tw","","","","",""
"2013-07-17T15:00:00","2013-07-17T23:23:00","","2013-07-17T15:00:00+00:00","接見法國前經貿部長博克樂參議員（M. Jean-Marie BOCKEL）伉儷等一行","2013-07-17T15:00:00/2013-07-17T23:23:00@president.g0v.tw","","","","",""
"2013-07-17T16:00:00","2013-07-17T23:23:00","","2013-07-17T16:00:00+00:00","接見「我四友邦駐維也納聯合國暨其他國際組織常任代表訪華團」","2013-07-17T16:00:00/2013-07-17T23:23:00@president.g0v.tw","","","","",""
"2013-07-16T10:00:00","2013-07-16T23:23:00","","2013-07-16T10:00:00+00:00","主持102年7月總統府月會暨宣誓典禮","2013-07-16T10:00:00/2013-07-16T23:23:00@president.g0v.tw","","","","",""
"2013-07-16T15:20:00","2013-07-16T23:23:00","","2013-07-16T15:20:00+00:00","接見美國國會「美『中』經濟暨安全檢討委員會」（USCC）訪華團","2013-07-16T15:20:00/2013-07-16T23:23:00@president.g0v.tw","","","","",""
"2013-07-16T17:00:00","2013-07-16T23:23:00","","2013-07-16T17:00:00+00:00","出席「我國與紐西蘭簽署經濟合作協定」慶祝酒會","2013-07-16T17:00:00/2013-07-16T23:23:00@president.g0v.tw","","","","",""
"2013-07-15T09:00:00","2013-07-15T23:23:00","","2013-07-15T09:00:00+00:00","出席「102年戒嚴時期政治受難者紀念追思儀式」","2013-07-15T09:00:00/2013-07-15T23:23:00@president.g0v.tw","","","","",""
"2013-07-14T09:00:00","2013-07-14T23:23:00","","2013-07-14T09:00:00+00:00","勘察「桃園縣一期水稻災損情形」","2013-07-14T09:00:00/2013-07-14T23:23:00@president.g0v.tw","","","","",""
"2013-07-14T10:00:00","2013-07-14T23:23:00","","2013-07-14T10:00:00+00:00","勘察「桃園縣農業設施(網室全毀)災損情形」","2013-07-14T10:00:00/2013-07-14T23:23:00@president.g0v.tw","","","","",""
"2013-07-13T11:30:00","2013-07-13T23:23:00","","2013-07-13T11:30:00+00:00","慰問員警陳錦榮家屬","2013-07-13T11:30:00/2013-07-13T23:23:00@president.g0v.tw","","","","",""
"2013-07-12T08:30:00","2013-07-12T23:23:00","","2013-07-12T08:30:00+00:00","視察中央災害應變中心","2013-07-12T08:30:00/2013-07-12T23:23:00@president.g0v.tw","","","","",""
"2013-07-12T10:00:00","2013-07-12T23:23:00","","2013-07-12T10:00:00+00:00","總統與工商團體座談會","2013-07-12T10:00:00/2013-07-12T23:23:00@president.g0v.tw","","","","",""
"2013-07-11T10:10:00","2013-07-11T23:23:00","","2013-07-11T10:10:00+00:00","接見「中華道教團體聯合總會」第3屆理監事等幹部暨各地宮廟會員代表","2013-07-11T10:10:00/2013-07-11T23:23:00@president.g0v.tw","","","","",""
"2013-07-11T11:00:00","2013-07-11T23:23:00","","2013-07-11T11:00:00+00:00","接見美國夏威夷州州長艾伯康（Neil Abercrombie）等一行","2013-07-11T11:00:00/2013-07-11T23:23:00@president.g0v.tw","","","","",""
"2013-07-11T14:00:00","2013-07-11T23:23:00","","2013-07-11T14:00:00+00:00","出席「海峽兩岸服務貿易協議」金融宣導說明會","2013-07-11T14:00:00/2013-07-11T23:23:00@president.g0v.tw","","","","",""
"2013-07-10T15:58:00","2013-07-10T23:23:00","","2013-07-10T15:58:00+00:00","接受壹電視專訪","2013-07-10T15:58:00/2013-07-10T23:23:00@president.g0v.tw","","","","",""
"2013-07-09T00:00:00","2013-07-09T23:23:00","","2013-07-09T00:00:00+00:00","無公開行程","2013-07-09T00:00:00/2013-07-09T23:23:00@president.g0v.tw","","","","",""
"2013-07-08T10:00:00","2013-07-08T23:23:00","","2013-07-08T10:00:00+00:00","接見「財團法人財經立法促進院」財金專家學者","2013-07-08T10:00:00/2013-07-08T23:23:00@president.g0v.tw","","","","",""
"2013-07-07T09:35:00","2013-07-07T23:23:00","","2013-07-07T09:35:00+00:00","訪視瑞春醬油","2013-07-07T09:35:00/2013-07-07T23:23:00@president.g0v.tw","","","","",""
"2013-07-06T00:00:00","2013-07-06T23:23:00","","2013-07-06T00:00:00+00:00","無公開行程","2013-07-06T00:00:00/2013-07-06T23:23:00@president.g0v.tw","","","","",""
"2013-07-05T09:30:00","2013-07-05T23:23:00","","2013-07-05T09:30:00+00:00","出席「工業技術研究院40週年院慶典禮」","2013-07-05T09:30:00/2013-07-05T23:23:00@president.g0v.tw","","","","",""
"2013-07-05T14:30:00","2013-07-05T23:23:00","","2013-07-05T14:30:00+00:00","主持「2013總統教育獎」頒獎典禮","2013-07-05T14:30:00/2013-07-05T23:23:00@president.g0v.tw","","","","",""
"2013-07-05T17:40:00","2013-07-05T23:23:00","","2013-07-05T17:40:00+00:00","接見美國加州大學洛杉磯分校(UCLA)校長畢傑恩(Gene Block)伉儷等一行","2013-07-05T17:40:00/2013-07-05T23:23:00@president.g0v.tw","","","","",""
"2013-07-05T19:00:00","2013-07-05T23:23:00","","2013-07-05T19:00:00+00:00","出席「基督徒救世會30週年慶晚宴」","2013-07-05T19:00:00/2013-07-05T23:23:00@president.g0v.tw","","","","",""
"2013-07-04T10:00:00","2013-07-04T23:23:00","","2013-07-04T10:00:00+00:00","主持贈勳典禮-頒贈美國匹茲堡大學醫學與公共衛生教授韓德森（Donald A. Henderson）「大綬景星勳章」","2013-07-04T10:00:00/2013-07-04T23:23:00@president.g0v.tw","","","","",""
"2013-07-04T11:15:00","2013-07-04T23:23:00","","2013-07-04T11:15:00+00:00","接見加拿大國會議員訪華團","2013-07-04T11:15:00/2013-07-04T23:23:00@president.g0v.tw","","","","",""
"2013-07-03T14:00:00","2013-07-03T23:23:00","","2013-07-03T14:00:00+00:00","出席「ECFA服務貿易協議商機論壇－中部場」","2013-07-03T14:00:00/2013-07-03T23:23:00@president.g0v.tw","","","","",""
"2013-07-02T09:00:00","2013-07-02T23:23:00","","2013-07-02T09:00:00+00:00","接見尼加拉瓜共和國外交部長桑多士（Samuel Santos López）等一行","2013-07-02T09:00:00/2013-07-02T23:23:00@president.g0v.tw","","","","",""
