"SUMMARY","DTSTART","DTEND","DURATION","DTSTAMP","UID","RECURRENCE-ID","SEQUENCE","RRULEEXRULE","RDATE","EXDATE"
"出席「第11屆光寶創新獎頒獎典禮」","2011-08-18T14:00:00","2011-08-18T23:23:00","","2011-08-18T14:00:00+00:00","2011-08-18T14:00:00/2011-08-18T23:23:00@vice-president.g0v.tw","","","","",""
"出席「中華民國100年駐外使節會議」閉幕典禮","2011-08-18T16:00:00","2011-08-18T23:23:00","","2011-08-18T16:00:00+00:00","2011-08-18T16:00:00/2011-08-18T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2011-07-22T00:00:00","2011-07-22T23:23:00","","2011-07-22T00:00:00+00:00","2011-07-22T00:00:00/2011-07-22T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2010-11-14T00:00:00","2010-11-14T23:23:00","","2010-11-14T00:00:00+00:00","2010-11-14T00:00:00/2010-11-14T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2012-03-06T00:00:00","2012-03-06T23:23:00","","2012-03-06T00:00:00+00:00","2012-03-06T00:00:00/2012-03-06T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2012-01-14T00:00:00","2012-01-14T23:23:00","","2012-01-14T00:00:00+00:00","2012-01-14T00:00:00/2012-01-14T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2011-02-20T00:00:00","2011-02-20T23:23:00","","2011-02-20T00:00:00+00:00","2011-02-20T00:00:00/2011-02-20T23:23:00@vice-president.g0v.tw","","","","",""
"接見日本龜甲萬株式會社社長茂木友三郎等一行","2010-10-28T16:15:00","2010-10-28T23:23:00","","2010-10-28T16:15:00+00:00","2010-10-28T16:15:00/2010-10-28T23:23:00@vice-president.g0v.tw","","","","",""
"出訪巴拉圭及巴拿馬","2011-05-18T00:00:00","2011-05-18T23:23:00","","2011-05-18T00:00:00+00:00","2011-05-18T00:00:00/2011-05-18T23:23:00@vice-president.g0v.tw","","","","",""
"出席「第二十一屆國家磐石獎」暨「第十四屆海外臺商磐石獎」頒獎典禮","2012-10-17T14:00:00","2012-10-17T23:23:00","","2012-10-17T14:00:00+00:00","2012-10-17T14:00:00/2012-10-17T23:23:00@vice-president.g0v.tw","","","","",""
"故總統經國先生逝世24週年恭謁陵寢","2012-01-13T07:58:00","2012-01-13T23:23:00","","2012-01-13T07:58:00+00:00","2012-01-13T07:58:00/2012-01-13T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2013-04-25T00:00:00","2013-04-25T23:23:00","","2013-04-25T00:00:00+00:00","2013-04-25T00:00:00/2013-04-25T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2012-02-03T00:00:00","2012-02-03T23:23:00","","2012-02-03T00:00:00+00:00","2012-02-03T00:00:00/2012-02-03T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2011-04-25T00:00:00","2011-04-25T23:23:00","","2011-04-25T00:00:00+00:00","2011-04-25T00:00:00/2011-04-25T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2010-12-19T00:00:00","2010-12-19T23:23:00","","2010-12-19T00:00:00+00:00","2010-12-19T00:00:00/2010-12-19T23:23:00@vice-president.g0v.tw","","","","",""
"接見泰國學者Dr. Krasae Chanawongse等一行","2010-09-30T11:00:00","2010-09-30T23:23:00","","2010-09-30T11:00:00+00:00","2010-09-30T11:00:00/2010-09-30T23:23:00@vice-president.g0v.tw","","","","",""
"出席「2010年台北國際發明展暨技術交易展」開幕典禮","2010-09-30T14:00:00","2010-09-30T23:23:00","","2010-09-30T14:00:00+00:00","2010-09-30T14:00:00/2010-09-30T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2013-02-07T00:00:00","2013-02-07T23:23:00","","2013-02-07T00:00:00+00:00","2013-02-07T00:00:00/2013-02-07T23:23:00@vice-president.g0v.tw","","","","",""
"出席「宜華國際觀光旅館」興建工程開工典禮儀式","2010-09-09T09:00:00","2010-09-09T23:23:00","","2010-09-09T09:00:00+00:00","2010-09-09T09:00:00/2010-09-09T23:23:00@vice-president.g0v.tw","","","","",""
"陪同總統出席「國家人權報告」英文版發表記者會","2012-12-18T09:10:00","2012-12-18T23:23:00","","2012-12-18T09:10:00+00:00","2012-12-18T09:10:00/2012-12-18T23:23:00@vice-president.g0v.tw","","","","",""
"接見「一等原住民族專業獎章」得獎人內川喜美子及下村作次郎","2012-12-18T10:00:00","2012-12-18T23:23:00","","2012-12-18T10:00:00+00:00","2012-12-18T10:00:00/2012-12-18T23:23:00@vice-president.g0v.tw","","","","",""
"接見波蘭眾議院副議長萬德利赫一行","2012-12-18T11:00:00","2012-12-18T23:23:00","","2012-12-18T11:00:00+00:00","2012-12-18T11:00:00/2012-12-18T23:23:00@vice-president.g0v.tw","","","","",""
"出席「第二屆亞洲大洋洲復健醫學大會」開幕典禮","2010-04-30T08:00:00","2010-04-30T23:23:00","","2010-04-30T08:00:00+00:00","2010-04-30T08:00:00/2010-04-30T23:23:00@vice-president.g0v.tw","","","","",""
"陪同總統出席專業組「產業類」國策顧問座談會","2010-04-30T14:30:00","2010-04-30T23:23:00","","2010-04-30T14:30:00+00:00","2010-04-30T14:30:00/2010-04-30T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2011-10-16T00:00:00","2011-10-16T23:23:00","","2011-10-16T00:00:00+00:00","2011-10-16T00:00:00/2011-10-16T23:23:00@vice-president.g0v.tw","","","","",""
"出席「2011國際衰弱研究研討會」開幕典禮","2011-11-25T09:00:00","2011-11-25T23:23:00","","2011-11-25T09:00:00+00:00","2011-11-25T09:00:00/2011-11-25T23:23:00@vice-president.g0v.tw","","","","",""
"出席「臺北孔廟百年新生慶典」活動","2011-11-25T14:30:00","2011-11-25T23:23:00","","2011-11-25T14:30:00+00:00","2011-11-25T14:30:00/2011-11-25T23:23:00@vice-president.g0v.tw","","","","",""
"出席「紡拓會36週年會慶」","2011-11-25T16:00:00","2011-11-25T23:23:00","","2011-11-25T16:00:00+00:00","2011-11-25T16:00:00/2011-11-25T23:23:00@vice-president.g0v.tw","","","","",""
"出席「美國人在臺灣的足跡：1950～1980巡迴展」開幕典禮","2011-11-25T17:30:00","2011-11-25T23:23:00","","2011-11-25T17:30:00+00:00","2011-11-25T17:30:00/2011-11-25T23:23:00@vice-president.g0v.tw","","","","",""
"10:15　出席「台日論壇2010年台北會議」","2010-12-20T00:00:00","2010-12-20T23:23:00","","2010-12-20T00:00:00+00:00","2010-12-20T00:00:00/2010-12-20T23:23:00@vice-president.g0v.tw","","","","",""
"11:00　出席「2010政大節紀念儀式」","2010-12-20T00:00:00","2010-12-20T23:23:00","","2010-12-20T00:00:00+00:00","2010-12-20T00:00:00/2010-12-20T23:23:00@vice-president.g0v.tw","","","","",""
"出席亞洲生產力組織「綠色卓越中心啟動大會：攜手亞太邁向綠色生產力」","2013-08-21T13:30:00","2013-08-21T23:23:00","","2013-08-21T13:30:00+00:00","2013-08-21T13:30:00/2013-08-21T23:23:00@vice-president.g0v.tw","","","","",""
"出席「臺北溫泉季」開幕典禮","2012-10-19T10:30:00","2012-10-19T23:23:00","","2012-10-19T10:30:00+00:00","2012-10-19T10:30:00/2012-10-19T23:23:00@vice-president.g0v.tw","","","","",""
"出席「2012臺灣最佳聲望標竿企業」頒獎餐會","2012-10-19T20:30:00","2012-10-19T23:23:00","","2012-10-19T20:30:00+00:00","2012-10-19T20:30:00/2012-10-19T23:23:00@vice-president.g0v.tw","","","","",""
"出席「海外華文女作家協會第十一屆年會」開幕典禮","2010-11-05T09:00:00","2010-11-05T23:23:00","","2010-11-05T09:00:00+00:00","2010-11-05T09:00:00/2010-11-05T23:23:00@vice-president.g0v.tw","","","","",""
"接見「泰國皇家計畫基金會」主席畢沙迪親王一行","2010-11-05T14:30:00","2010-11-05T23:23:00","","2010-11-05T14:30:00+00:00","2010-11-05T14:30:00/2010-11-05T23:23:00@vice-president.g0v.tw","","","","",""
"出席「節能減碳－智慧綠建築」研討會","2011-11-22T09:00:00","2011-11-22T23:23:00","","2011-11-22T09:00:00+00:00","2011-11-22T09:00:00/2011-11-22T23:23:00@vice-president.g0v.tw","","","","",""
"接見「第19屆中華建築金石獎」得獎優良企業代表","2011-11-22T10:30:00","2011-11-22T23:23:00","","2011-11-22T10:30:00+00:00","2011-11-22T10:30:00/2011-11-22T23:23:00@vice-president.g0v.tw","","","","",""
"接見美國農業部前次長任筑山博士（Dr. Joseph Jen）伉儷","2011-11-22T11:30:00","2011-11-22T23:23:00","","2011-11-22T11:30:00+00:00","2011-11-22T11:30:00/2011-11-22T23:23:00@vice-president.g0v.tw","","","","",""
"出席「建國百年十大績優農業產銷班頒獎典禮」","2011-11-22T14:10:00","2011-11-22T23:23:00","","2011-11-22T14:10:00+00:00","2011-11-22T14:10:00/2011-11-22T23:23:00@vice-president.g0v.tw","","","","",""
"出席「第53屆中小學科學展覽會」頒獎及閉幕典禮","2013-07-26T09:10:00","2013-07-26T23:23:00","","2013-07-26T09:10:00+00:00","2013-07-26T09:10:00/2013-07-26T23:23:00@vice-president.g0v.tw","","","","",""
"出席「世界和平祈願法會」","2011-02-23T10:00:00","2011-02-23T23:23:00","","2011-02-23T10:00:00+00:00","2011-02-23T10:00:00/2011-02-23T23:23:00@vice-president.g0v.tw","","","","",""
"出席靈鷲山「2011年新春祈福交流茶會」","2011-02-23T10:45:00","2011-02-23T23:23:00","","2011-02-23T10:45:00+00:00","2011-02-23T10:45:00/2011-02-23T23:23:00@vice-president.g0v.tw","","","","",""
"出席「精彩一百　森日快樂」植樹月記者會","2011-02-23T14:00:00","2011-02-23T23:23:00","","2011-02-23T14:00:00+00:00","2011-02-23T14:00:00/2011-02-23T23:23:00@vice-president.g0v.tw","","","","",""
"出席「佛光大學101學年度畢業典禮」","2013-06-15T09:00:00","2013-06-15T23:23:00","","2013-06-15T09:00:00+00:00","2013-06-15T09:00:00/2013-06-15T23:23:00@vice-president.g0v.tw","","","","",""
"拜訪「蘭陽仁愛之家」","2013-06-15T11:10:00","2013-06-15T23:23:00","","2013-06-15T11:10:00+00:00","2013-06-15T11:10:00/2013-06-15T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2010-05-27T00:00:00","2010-05-27T23:23:00","","2010-05-27T00:00:00+00:00","2010-05-27T00:00:00/2010-05-27T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2013-01-20T00:00:00","2013-01-20T23:23:00","","2013-01-20T00:00:00+00:00","2013-01-20T00:00:00/2013-01-20T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2012-07-24T00:00:00","2012-07-24T23:23:00","","2012-07-24T00:00:00+00:00","2012-07-24T00:00:00/2012-07-24T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2012-01-03T00:00:00","2012-01-03T23:23:00","","2012-01-03T00:00:00+00:00","2012-01-03T00:00:00/2012-01-03T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2011-05-21T00:00:00","2011-05-21T23:23:00","","2011-05-21T00:00:00+00:00","2011-05-21T00:00:00/2011-05-21T23:23:00@vice-president.g0v.tw","","","","",""
"出席「2011台北世界設計大展倒數啟動」儀式","2011-04-15T11:10:00","2011-04-15T23:23:00","","2011-04-15T11:10:00+00:00","2011-04-15T11:10:00/2011-04-15T23:23:00@vice-president.g0v.tw","","","","",""
"出席經濟部「第19屆台灣精品金銀質獎」頒獎典禮","2011-04-15T14:00:00","2011-04-15T23:23:00","","2011-04-15T14:00:00+00:00","2011-04-15T14:00:00/2011-04-15T23:23:00@vice-president.g0v.tw","","","","",""
"出席「建國百年　菁英100－公務人員特種考試榜首座談會」","2011-04-15T15:30:00","2011-04-15T23:23:00","","2011-04-15T15:30:00+00:00","2011-04-15T15:30:00/2011-04-15T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2010-05-28T00:00:00","2010-05-28T23:23:00","","2010-05-28T00:00:00+00:00","2010-05-28T00:00:00/2010-05-28T23:23:00@vice-president.g0v.tw","","","","",""
"出席「2010大陸台商秋節座談聯誼活動」","2010-09-23T18:55:00","2010-09-23T23:23:00","","2010-09-23T18:55:00+00:00","2010-09-23T18:55:00/2010-09-23T23:23:00@vice-president.g0v.tw","","","","",""
"出席「第二屆臺灣中小企業社會責任獎」頒獎典禮","2012-07-12T13:30:00","2012-07-12T23:23:00","","2012-07-12T13:30:00+00:00","2012-07-12T13:30:00/2012-07-12T23:23:00@vice-president.g0v.tw","","","","",""
"出席日商「古河銅箔股份有限公司」工廠完工開幕餐會","2012-07-12T18:15:00","2012-07-12T23:23:00","","2012-07-12T18:15:00+00:00","2012-07-12T18:15:00/2012-07-12T23:23:00@vice-president.g0v.tw","","","","",""
"接見日本眾議員田中和德一行","2012-09-24T10:00:00","2012-09-24T23:23:00","","2012-09-24T10:00:00+00:00","2012-09-24T10:00:00/2012-09-24T23:23:00@vice-president.g0v.tw","","","","",""
"出席「第三屆公共藝術獎頒獎典禮」","2012-09-24T15:30:00","2012-09-24T23:23:00","","2012-09-24T15:30:00+00:00","2012-09-24T15:30:00/2012-09-24T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2010-06-15T00:00:00","2010-06-15T23:23:00","","2010-06-15T00:00:00+00:00","2010-06-15T00:00:00/2010-06-15T23:23:00@vice-president.g0v.tw","","","","",""
"出席「台灣美食－從嘉起跑」記者會","2011-04-09T10:30:00","2011-04-09T23:23:00","","2011-04-09T10:30:00+00:00","2011-04-09T10:30:00/2011-04-09T23:23:00@vice-president.g0v.tw","","","","",""
"出席「百歲百畫」台灣當代畫家邀請展開幕式","2011-04-09T14:30:00","2011-04-09T23:23:00","","2011-04-09T14:30:00+00:00","2011-04-09T14:30:00/2011-04-09T23:23:00@vice-president.g0v.tw","","","","",""
"接見大韓民國前青瓦台文化特別補佐官柳仁村及國立釜慶大學副校長尹東泰","2012-02-10T10:00:00","2012-02-10T23:23:00","","2012-02-10T10:00:00+00:00","2012-02-10T10:00:00/2012-02-10T23:23:00@vice-president.g0v.tw","","","","",""
"接見經貿群英聯誼會成員暨茶會","2012-02-10T11:00:00","2012-02-10T23:23:00","","2012-02-10T11:00:00+00:00","2012-02-10T11:00:00/2012-02-10T23:23:00@vice-president.g0v.tw","","","","",""
"出席「總統魚魚苗放流」活動","2012-09-16T07:30:00","2012-09-16T23:23:00","","2012-09-16T07:30:00+00:00","2012-09-16T07:30:00/2012-09-16T23:23:00@vice-president.g0v.tw","","","","",""
"出席「2012日月潭國際萬人泳渡」","2012-09-16T08:00:00","2012-09-16T23:23:00","","2012-09-16T08:00:00+00:00","2012-09-16T08:00:00/2012-09-16T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2012-04-02T00:00:00","2012-04-02T23:23:00","","2012-04-02T00:00:00+00:00","2012-04-02T00:00:00/2012-04-02T23:23:00@vice-president.g0v.tw","","","","",""
"出席「101年12月中樞慶祝行憲暨總統府月會與宣誓典禮」","2012-12-25T10:00:00","2012-12-25T23:23:00","","2012-12-25T10:00:00+00:00","2012-12-25T10:00:00/2012-12-25T23:23:00@vice-president.g0v.tw","","","","",""
"出席「歷屆臺北市議會議員『回娘家』餐會」","2012-12-25T18:50:00","2012-12-25T23:23:00","","2012-12-25T18:50:00+00:00","2012-12-25T18:50:00/2012-12-25T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2012-08-02T00:00:00","2012-08-02T23:23:00","","2012-08-02T00:00:00+00:00","2012-08-02T00:00:00/2012-08-02T23:23:00@vice-president.g0v.tw","","","","",""
"出席「李國鼎故居」開館茶會","2010-05-31T10:00:00","2010-05-31T23:23:00","","2010-05-31T10:00:00+00:00","2010-05-31T10:00:00/2010-05-31T23:23:00@vice-president.g0v.tw","","","","",""
"接見第二屆「台日青年菁英高峰會」參加人員","2010-09-20T10:00:00","2010-09-20T23:23:00","","2010-09-20T10:00:00+00:00","2010-09-20T10:00:00/2010-09-20T23:23:00@vice-president.g0v.tw","","","","",""
"出席「中華民國老人福利協進會」理事長交接典禮","2013-01-06T12:00:00","2013-01-06T23:23:00","","2013-01-06T12:00:00+00:00","2013-01-06T12:00:00/2013-01-06T23:23:00@vice-president.g0v.tw","","","","",""
"陪同總統出席辜濓松先生追思告別聚會","2013-01-06T13:50:00","2013-01-06T23:23:00","","2013-01-06T13:50:00+00:00","2013-01-06T13:50:00/2013-01-06T23:23:00@vice-president.g0v.tw","","","","",""
"拜訪曾偉哲牙醫師","2012-06-24T10:05:00","2012-06-24T23:23:00","","2012-06-24T10:05:00+00:00","2012-06-24T10:05:00/2012-06-24T23:23:00@vice-president.g0v.tw","","","","",""
"出席「台灣海峽兩岸文教經貿宗教交流協會」成立大會","2012-06-24T10:30:00","2012-06-24T23:23:00","","2012-06-24T10:30:00+00:00","2012-06-24T10:30:00/2012-06-24T23:23:00@vice-president.g0v.tw","","","","",""
"接見「社團法人臺灣連鎖加盟促進協會」理監事","2012-12-26T15:00:00","2012-12-26T23:23:00","","2012-12-26T15:00:00+00:00","2012-12-26T15:00:00/2012-12-26T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2010-09-27T00:00:00","2010-09-27T23:23:00","","2010-09-27T00:00:00+00:00","2010-09-27T00:00:00/2010-09-27T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2011-03-06T00:00:00","2011-03-06T23:23:00","","2011-03-06T00:00:00+00:00","2011-03-06T00:00:00/2011-03-06T23:23:00@vice-president.g0v.tw","","","","",""
"出席「青年創業協會」總會會長交接暨會務幹部授證典禮","2013-01-18T18:00:00","2013-01-18T23:23:00","","2013-01-18T18:00:00+00:00","2013-01-18T18:00:00/2013-01-18T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2010-04-25T00:00:00","2010-04-25T23:23:00","","2010-04-25T00:00:00+00:00","2010-04-25T00:00:00/2010-04-25T23:23:00@vice-president.g0v.tw","","","","",""
"出席「我是油彩的化身」原創音樂劇記者會","2011-09-07T11:45:00","2011-09-07T23:23:00","","2011-09-07T11:45:00+00:00","2011-09-07T11:45:00/2011-09-07T23:23:00@vice-president.g0v.tw","","","","",""
"出席「2011科技菁英領袖晚宴暨頒獎典禮」","2011-09-07T19:00:00","2011-09-07T23:23:00","","2011-09-07T19:00:00+00:00","2011-09-07T19:00:00/2011-09-07T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2011-06-09T00:00:00","2011-06-09T23:23:00","","2011-06-09T00:00:00+00:00","2011-06-09T00:00:00/2011-06-09T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2013-01-11T00:00:00","2013-01-11T23:23:00","","2013-01-11T00:00:00+00:00","2013-01-11T00:00:00/2013-01-11T23:23:00@vice-president.g0v.tw","","","","",""
"接見「國際教育組織」（Education International）秘書長Fred van Leeuwen","2012-05-01T15:00:00","2012-05-01T23:23:00","","2012-05-01T15:00:00+00:00","2012-05-01T15:00:00/2012-05-01T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2011-09-17T00:00:00","2011-09-17T23:23:00","","2011-09-17T00:00:00+00:00","2011-09-17T00:00:00/2011-09-17T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2012-02-19T00:00:00","2012-02-19T23:23:00","","2012-02-19T00:00:00+00:00","2012-02-19T00:00:00/2012-02-19T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2010-11-18T00:00:00","2010-11-18T23:23:00","","2010-11-18T00:00:00+00:00","2010-11-18T00:00:00/2010-11-18T23:23:00@vice-president.g0v.tw","","","","",""
"出席美孚建設暨三陽工業內湖企業總部園區開工動土典禮","2011-03-11T09:30:00","2011-03-11T23:23:00","","2011-03-11T09:30:00+00:00","2011-03-11T09:30:00/2011-03-11T23:23:00@vice-president.g0v.tw","","","","",""
"陪同總統出席外交部部慶酒會暨「百年傳承　走出活路－中華民國外交史料特展」預展","2011-03-11T12:05:00","2011-03-11T23:23:00","","2011-03-11T12:05:00+00:00","2011-03-11T12:05:00/2011-03-11T23:23:00@vice-president.g0v.tw","","","","",""
"接見100年馬來西亞留台校友會領袖幹部返國參訪團","2011-03-11T15:30:00","2011-03-11T23:23:00","","2011-03-11T15:30:00+00:00","2011-03-11T15:30:00/2011-03-11T23:23:00@vice-president.g0v.tw","","","","",""
"接見「第7屆身心障礙者藝術顛峰創作聯展」參展者","2010-12-14T10:30:00","2010-12-14T23:23:00","","2010-12-14T10:30:00+00:00","2010-12-14T10:30:00/2010-12-14T23:23:00@vice-president.g0v.tw","","","","",""
"接見第18屆中華建築金石獎得獎企業代表","2010-12-14T11:30:00","2010-12-14T23:23:00","","2010-12-14T11:30:00+00:00","2010-12-14T11:30:00/2010-12-14T23:23:00@vice-president.g0v.tw","","","","",""
"出席「新生三館美麗再現」記者會","2011-07-31T14:00:00","2011-07-31T23:23:00","","2011-07-31T14:00:00+00:00","2011-07-31T14:00:00/2011-07-31T23:23:00@vice-president.g0v.tw","","","","",""
"出席世界原住民族樂舞節活動","2011-07-31T15:45:00","2011-07-31T23:23:00","","2011-07-31T15:45:00+00:00","2011-07-31T15:45:00/2011-07-31T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2012-01-28T00:00:00","2012-01-28T23:23:00","","2012-01-28T00:00:00+00:00","2012-01-28T00:00:00/2012-01-28T23:23:00@vice-president.g0v.tw","","","","",""
"出席高雄榮民總醫院「台灣100健康出發－手護軍會師大會暨手部衛生推廣觀摩會」","2011-05-04T10:00:00","2011-05-04T23:23:00","","2011-05-04T10:00:00+00:00","2011-05-04T10:00:00/2011-05-04T23:23:00@vice-president.g0v.tw","","","","",""
"接見「建國百年—優良企業獎」得獎者","2011-10-18T10:30:00","2011-10-18T23:23:00","","2011-10-18T10:30:00+00:00","2011-10-18T10:30:00/2011-10-18T23:23:00@vice-president.g0v.tw","","","","",""
"「敦誼專案」－副總統出訪中美洲二友邦（多明尼加共和國、貝里斯）","2012-08-14T00:00:00","2012-08-14T23:23:00","","2012-08-14T00:00:00+00:00","2012-08-14T00:00:00/2012-08-14T23:23:00@vice-president.g0v.tw","","","","",""
"出訪巴拉圭及巴拿馬","2011-05-13T00:00:00","2011-05-13T23:23:00","","2011-05-13T00:00:00+00:00","2011-05-13T00:00:00/2011-05-13T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2011-02-28T00:00:00","2011-02-28T23:23:00","","2011-02-28T00:00:00+00:00","2011-02-28T00:00:00/2011-02-28T23:23:00@vice-president.g0v.tw","","","","",""
"出席「第五屆MVP經理人榮譽分享會」","2012-12-05T14:00:00","2012-12-05T23:23:00","","2012-12-05T14:00:00+00:00","2012-12-05T14:00:00/2012-12-05T23:23:00@vice-president.g0v.tw","","","","",""
"出席「第9屆《遠見雜誌》企業社會責任獎」頒獎典禮","2013-05-02T14:00:00","2013-05-02T23:23:00","","2013-05-02T14:00:00+00:00","2013-05-02T14:00:00/2013-05-02T23:23:00@vice-president.g0v.tw","","","","",""
"接見「國際募款組織委員會」各國組織負責人","2013-05-02T15:00:00","2013-05-02T23:23:00","","2013-05-02T15:00:00+00:00","2013-05-02T15:00:00/2013-05-02T23:23:00@vice-president.g0v.tw","","","","",""
"出席第20屆「台北首爾論壇」「東亞共同體建構：中華民國與大韓民國」研討會","2011-10-26T09:20:00","2011-10-26T23:23:00","","2011-10-26T09:20:00+00:00","2011-10-26T09:20:00/2011-10-26T23:23:00@vice-president.g0v.tw","","","","",""
"出席「臺灣國際綠色產業展」、「臺灣智慧綠色城市展」、「綠色生活博覽會」三展聯合開幕典禮暨「臺灣綠色典範獎」頒獎典禮","2011-10-26T10:50:00","2011-10-26T23:23:00","","2011-10-26T10:50:00+00:00","2011-10-26T10:50:00/2011-10-26T23:23:00@vice-president.g0v.tw","","","","",""
"參觀「2011台北世界設計大展」","2011-10-26T11:30:00","2011-10-26T23:23:00","","2011-10-26T11:30:00+00:00","2011-10-26T11:30:00/2011-10-26T23:23:00@vice-president.g0v.tw","","","","",""
